entity_id,company_name,industry,size_estimate,country,city,website,company_profile_url,decision_maker_name,decision_maker_role,decision_maker_profile_url,email,evidence,source_tags
b6ee1dca-f756-48c7-8b2c-7c677ac3c55c,Top 80 Business Consulting Companies in Saudi Arabia,Unknown,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fthemanifest.com%2Fsa%2Fbusiness%2Dconsulting%2Ffirms&rut=c36d83abc5e5d72527b009cde6dbcdeeb85fc6e660220dc6ecfa8b8db78739eb,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fthemanifest.com%2Fsa%2Fbusiness%2Dconsulting%2Ffirms&rut=c36d83abc5e5d72527b009cde6dbcdeeb85fc6e660220dc6ecfa8b8db78739eb,website
7800210b-4e43-434d-a9d0-d8792bc8fbd7,"Top Management Consulting companies in Saudi Arabia - April, 2025",Management Consulting,,Saudi Arabia,Riyadh,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.zoominfo.com%2Ftop%2Dlists%2Ftop%2Dbizservice%2Dconsulting%2Dcompanies%2Din%2DSA&rut=44d9c80590c1afe986700d794db0ef48c35d1b608cb0d29d0748238e1f41285f,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.zoominfo.com%2Ftop%2Dlists%2Ftop%2Dbizservice%2Dconsulting%2Dcompanies%2Din%2DSA&rut=44d9c80590c1afe986700d794db0ef48c35d1b608cb0d29d0748238e1f41285f,website
a39388eb-1b0e-4932-8a04-c4b4a6b1574c,Top 20 Consulting Companies in Saudi Arabia (2025) | ensun,Unknown,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fensun.io%2Fsearch%2Fconsulting%2Fsaudi%2Darabia&rut=eb72b75a40949ce3a0da041f48a2c425f33872fd82ef44fecdee24d69630045b,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fensun.io%2Fsearch%2Fconsulting%2Fsaudi%2Darabia&rut=eb72b75a40949ce3a0da041f48a2c425f33872fd82ef44fecdee24d69630045b,website
27fb8182-7908-4068-ab6d-b8d9d36eac07,The 10 Best Consulting Firms in Jeddah - 2026 Reviews - Sortlist,Management Consulting,,Saudi Arabia,Jeddah,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sortlist.com%2Fs%2Fconsulting%2Fjeddah%2Dmakkah%2Dprovince%2Dsa&rut=ee1ea4c63e70d5fb3e7d951326ca0a055c7f80c8eec779c2a0e5836002f036d5,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sortlist.com%2Fs%2Fconsulting%2Fjeddah%2Dmakkah%2Dprovince%2Dsa&rut=ee1ea4c63e70d5fb3e7d951326ca0a055c7f80c8eec779c2a0e5836002f036d5,website
b32674d1-77f4-429d-8913-b123c0ff87ba,Top Consulting Companies in Jeddah | GulfTalent.com,Management Consulting,,Saudi Arabia,Jeddah,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.gulftalent.com%2Fsaudi%2Darabia%2Fcompanies%2Fcity%2Fjeddah%2Findustry%2Fconsulting&rut=7c9248d8c74e04b34a8d1ec46471372d9ba7e7292f649889cbaf9f4e9addec28,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.gulftalent.com%2Fsaudi%2Darabia%2Fcompanies%2Fcity%2Fjeddah%2Findustry%2Fconsulting&rut=7c9248d8c74e04b34a8d1ec46471372d9ba7e7292f649889cbaf9f4e9addec28,website
d3d7cab5-270e-4ce4-98e7-42c77e00d222,Home | Corprights,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fcorprights.sa%2F&rut=594a78f46f62a5faf188fbf3bad3c00f0a77fb04ad973dd4687bec9cf6f267bc,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fcorprights.sa%2F&rut=594a78f46f62a5faf188fbf3bad3c00f0a77fb04ad973dd4687bec9cf6f267bc,website
4840f5a8-2b09-443e-b4d0-c2b04e290fb8,Comprehensive Guide to Management Consulting Firms in Saudi Arabia,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.rmg%2Dsa.com%2Fen%2Fcomprehensive%2Dguide%2Dto%2Dmanagement%2Dconsulting%2Dfirms%2Din%2Dsaudi%2Darabia%2F&rut=33d275007e93327d2153dabae232bb786e5f6ee6ea3b76d34a903939141d5e92,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.rmg%2Dsa.com%2Fen%2Fcomprehensive%2Dguide%2Dto%2Dmanagement%2Dconsulting%2Dfirms%2Din%2Dsaudi%2Darabia%2F&rut=33d275007e93327d2153dabae232bb786e5f6ee6ea3b76d34a903939141d5e92,website
f455c9bd-dcdc-41ff-a68e-671bc711b068,Search Management Consulting Companies in Dammam Dammam area,Management Consulting,,Saudi Arabia,Dammam,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.zoominfo.com%2Fcompanies%2Dsearch%2Flocation%2Dsaudi%2Darabia%2D%2Deastern%2Dprovince%2D%2Ddammam%2Ddammam%2Dindustry%2Dmanagement%2Dconsulting&rut=e45abb5c5cf8fcd0514adebc6cba0325b88e394eb06a5e88121f4b65fc8b8733,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.zoominfo.com%2Fcompanies%2Dsearch%2Flocation%2Dsaudi%2Darabia%2D%2Deastern%2Dprovince%2D%2Ddammam%2Ddammam%2Dindustry%2Dmanagement%2Dconsulting&rut=e45abb5c5cf8fcd0514adebc6cba0325b88e394eb06a5e88121f4b65fc8b8733,website
cfe643b7-f39e-4092-a21b-566b4875d2ae,Leading Management Consulting Services in Saudi Arabia|Dsquare Global,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.dsquareglobal.com%2Fservices%2Fmanagement%2Dconsulting&rut=078cfc2c26e11796c4e08408c833878ae149a94b0c3299bd8ead7dc41feab948,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.dsquareglobal.com%2Fservices%2Fmanagement%2Dconsulting&rut=078cfc2c26e11796c4e08408c833878ae149a94b0c3299bd8ead7dc41feab948,website
62c90391-c0a4-43c7-9ec7-6e69297817d9,idc - idc.sa,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fidc.sa%2Fen%2F&rut=587009e16326ba544ddb03861d1ddc6e756f20fc5acf40c5bc8f3b48b2d61c5c,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fidc.sa%2Fen%2F&rut=587009e16326ba544ddb03861d1ddc6e756f20fc5acf40c5bc8f3b48b2d61c5c,website
a1f675b0-5ec1-4748-93de-b96acf08135b,Ozone Management Consulting - LinkedIn,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fo3consult&rut=d13f0e2db8de4400747140bc0b5816f594eb4989375170538d19c5b40b45aca3,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fo3consult&rut=d13f0e2db8de4400747140bc0b5816f594eb4989375170538d19c5b40b45aca3,search_result
62f58115-ec4d-42b1-b343-14e5578d5112,Pearls Consulting Saudi Arabia - LinkedIn,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fpearlsconsulting&rut=0d85cf6e203523af8a738b7ab94e1ef741b4e3a9470e880baaf83b97787b6aa1,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fpearlsconsulting&rut=0d85cf6e203523af8a738b7ab94e1ef741b4e3a9470e880baaf83b97787b6aa1,search_result
a8348d88-9ac2-4832-b4c2-fbd978f7da8b,BSL Investment - LinkedIn,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fbsl%2Dsa&rut=24cd381e2a537ab67a57ec4d6b7335d9906c162af2b4d10791d9ab2fc0e10e52,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fbsl%2Dsa&rut=24cd381e2a537ab67a57ec4d6b7335d9906c162af2b4d10791d9ab2fc0e10e52,search_result
296b159e-dab6-46ba-8faa-029686d54da4,Pearls Consulting Saudi Arabia - LinkedIn,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fsa.linkedin.com%2Fcompany%2Fpearlsconsulting&rut=5848f3ee4ae4b127761967f012e298282a9b2df01c056524b23b4668d46ae2ed,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fsa.linkedin.com%2Fcompany%2Fpearlsconsulting&rut=5848f3ee4ae4b127761967f012e298282a9b2df01c056524b23b4668d46ae2ed,search_result
ccf3cf85-082b-4636-96a5-3e59928ca53b,Management Consulting in Saudi Arabia: A Comprehensive Guide to ...,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Ftakmil.sa%2Fen%2Fmanagement%2Dconsulting%2Din%2Dsaudi%2Darabia%2F&rut=64279385d84d5584102aba8249dcd5a30690f455a8be8fd588db56a4cb818942,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Ftakmil.sa%2Fen%2Fmanagement%2Dconsulting%2Din%2Dsaudi%2Darabia%2F&rut=64279385d84d5584102aba8249dcd5a30690f455a8be8fd588db56a4cb818942,website
13e3851e-be94-4661-b7f0-8f28d2475968,ECMC - Management Consulting Solutions,Management Consulting,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ecmc%2Dksa.com%2F&rut=5c8517dcf023a4bd0ae3cbef8ff43216b5d5443fae5a278778660fb366758f33,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ecmc%2Dksa.com%2F&rut=5c8517dcf023a4bd0ae3cbef8ff43216b5d5443fae5a278778660fb366758f33,website
16cb9b19-24c6-4458-8e63-500173c437f4,Logistics - Wikipedia,Unknown,,Saudi Arabia,,,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLogistics&rut=37f821b94462e328e4258400c7c563010238aaff3a655aab6dcdba2eb84acc1e,,,,,From: https://duckduckgo.com/l/?uddg=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLogistics&rut=37f821b94462e328e4258400c7c563010238aaff3a655aab6dcdba2eb84acc1e,website
